Comment Head	Comment Body	Comment Rating
" A non-audacious ""Seven"""		
 A Great Film.		9
 Nick Cage At His Finest	Just watched 8MM for about the 6th. time and felt compelled to add a review.I like Nicholas Cage,but most of his movies are far from comparable to 8 MM........this movie is Cage at his best,with an awesome supporting cast.Totally underrated and gritty film ,very disturbing and at the same time,very touching in certain parts.Cage,Gandolfini,and Phoenix are at the top of their respective games in this one.A classic in my opinion and IMDb rating is definitely misleading and should be much higher.A seedy,gritty,dirty,sleazy,and touching in parts,edge of your seat suspense filled classic!	
 What DID you expect?	"Almost universally lambasted upon release for all the wrong reasons time continues to be kind to 8mm, a film which will surely remain the pinnacle of Joel Schumachers checkered directing career. The movie explores the darkest side of the human soul as Nicholas Cages private detective is hired to find a missing girl who appears to have been murdered in a snuff movie. Schumacher never found favour with the critics even at his peak when his output was as erratic as most other even revered directors. Some expected Seven part 2 as it was scripted by Andrew Kevin Walker.Sorry its not a serial killer movie. Others moaned that it failed to explore the real underbelly of pornography/snuff movies. What i say to that is this is a movie not an investigative documentary.Cage under performs beautifully here. None of the bug eyed histrionics which have blighted so many of his performances. Even when he finally explodes into a rage by beating to death James Gandolfinis character it comes across as entirely believable The supporting cast are also excellent. Joaquin Phoenix plays the only other sympathetic male who tags along with Cage. The rest are a rum bunch of sleaze bags and villains. Peter Stomare hams it up magnificently as the porn mogul and Anthony Heald excels as the sleazy lawyer.My only complaint with the story are in some of the all too convenient plot contrivances which assist Cage in tracking down the location of the missing girl.Schumacher successfully ratchets up the tension in both the scenes where Cage escapes from captivity in the warehouse and at the end when he tracks down ""Machine"", the final remaining member of the snuff movie crew. When Machine is finally literally unmasked he asks Cage ""what did you expect?"" A question as pertinent to the detractors of this masterpiece."	10
 Excellent Thriller that Everybody should see	This review may contain what some consider spoilers. 8MM is one of those amazing films that time seems to have forgotten about(quite unfairly if you ask me). In the film Nic Cage plays Tom Welles, a private detective, who has been called in by the widow of millionaire to determine whether or not a snuff film found in her husband's belongings is authentic. Welles investigates the case as if it were a missing person's case. The case brings Welles deep into the world of underground pornography. James Gandolfini does a fantastic job playing the head of the distribution company that released the film. Cage does a great job playing a subdued investigator who starts to slowly question his own morals as he gets deeper in the case. Joaquin Phoenix plays Max California,a clerk at a local porn shop, so convincingly that I actually forgot that it was Joaquin Phoenix in the role. Character actor Peter Stormare plays one of the most subtly intimidating villains in a thriller. This is one movie that should appeal to everybody. Even those who aren't usually into thrillers should be able to find some entertainment in this movie.	10
 Torture & Murder In 8MM	Joel Schumacher has quite the reputation of being a director that dumbs down films with melodrama or by stripping the script off any depth. '8MM' is quite an intense chilling thriller that does touch on some very disturbing themes. However, Schumacher doesn't delve into it enough. He's more focused on the mystery of the missing girl angle. This could have been a though provoking film but the director seems to be too concerned with the Hollywood aspect. The film does make brief suggestions about the power and influence pornography has on people but it doesn't explore the psyche that draws people towards it. That said, '8MM' is a decent thriller. It had me engaged from the very beginning. Moreover the solid execution, especially the camera-work, art direction and the haunting score create an intense atmosphere. For a Hollywood flick, '8MM' is quite graphic. Nicolas Cage is brilliant and so is Joaquin Phoenix. James Gandolfini is a scene stealer as the sleazy pornographer. Catherine Keener isn't given much to do other than playing the concerned wife. Overall, it's a decent flick which could have been more than that if it was in the hands of a more capable director.	
 Unsettling but worth watching...once.	"I am a fan of psychological thrillers, so when I discovered ""8mm"" was available on Netflix instant stream, I figured I'd go ahead and give it a shot.I think it's important to mention this movie was written by the same guy who wrote the movie ""Se7en"", in other words, if you're expecting something light and fluffy, you're in for a rude awakening. This movie is ultra dark and unsettling yet oddly intriguing.I wouldn't feel comfortable saying I ""liked"" this movie, I think that'd be kind of messed up to say you liked something like this, but I will say that I was drawn into the story and was genuinely concerned what happened to Nicolas Cage's character.I would recommend this movie to others, but I think one viewing is more than enough. This movie isn't for the faint-of-heart, know that going in."	7
 Geeky Randy's summary		6
 More Hollywood garbage	I like all sorts of movies, but I like foreign films and Independent films the best. Hollywood has a way of sticking big directors and big stars on a film and promoting the hell out of it and making people watch it and therefore it gets popular when in reality it shouldn't be. This is a good case.One might find interest in this if they didn't know that such a world existed, but it is very real and it's old news. If this had been a movie with insight into the minds of people who do this kind of stuff, I would have enjoyed it.It is about a private investigator (played by the very boring Nicolas Cage) who is hired to find out if a snuff film is real and if so who made it. He goes on a search into the dark underground world of porn and looks for his answers and meets many bad characters along the way.This thriller just bored me, it needed to shock the audience and show them violent torture, yet its just the idea and the awareness of it is all you receive. I didn't care about anyone on this film, I did not know the young girl in question, the film gave her no soul or no character and I didn't feel sorry for her. Her mother's tears didn't make me sad, if it had been a loving home this would not have happened anyway, so too late for tears now Mommy dearest. The old woman who hired Cage in the first place was the only person I felt sorry for, she was great, and made me care for her.Shumacher sucks as a director and never does anything outstanding to me, he has no unique style and I can't believe so many people like him. Cage is so over the top and funny to watch, he sucks so bad yet he too has fans. James Gandolfini is a great actor and plays one of the bad guys here, can't ask for anyone better as well as Peter Stormare, he was born to play a villain. Anthony Heald is in here and even if he played Santa Claus in a movie he still comes off with an evil vibe. Joaquin Phoenix plays a punk here and I have no problem with him, I think he done an excellent job here.Thrills, there are few, shocking moments are even less. The movie has disturbing images for those who are bothered by such things, but it has no torture or anything so its okay for the squeamish to watch.I think of it as drama, what I see is a movie about a man obsessed with his job and making his own family suffer because of it, to me his wife is hurting more than the girl in the snuff film, the girl in the snuff film is running away from something and got lost along the way, Cages wife in this movie is running towards something but being pushed away..to me thats sad.I don't know what to say other than if you like boring drama's with a touch of excitement this may be for you.	3
 You have got to love the cheap DVD bin!	I came across this in my local video store's pre-viewed bin by chance. It seemed to me that the last time I saw 8mm was in the theater when it first came out. For some reason I seemed to remember liking this movie, the DVD was anamorphic widescreen and the price was right so I picked it up. I watched it about a week after purchasing it and was not disappointed. This movie although very dark is quite worth watching especially if your a Nicolas Cage fan. However if you are easily offended do yourself a favor and do not watch this movie as it is very intense and potentially offensive to some at various times. This movie is a good mix of drama and action and is very thought provoking. Just about anybody who views this movie will be effected in one way or another, likely not in a negative way but in fact in an eye-opening way.	
 ...		6
 Embarrassingly bad	After watching '8 millimeters', I have a question. Why was this film made? I don't know movies, only words, so when I see words so badly used, it makes me sad. And when a good idea and good actors can't find even mediocre talent for the script or direction, my sadness is like a funeral in the rain. For poor Nick Cage, a good actor, getting mixed up in this whirlpool of weary words was a classic mistake. Why don't agents protect their actors from these talent-free zones? Surely any professional reading of this grotesque script must have revealed way in advance how badly things would turn out ... or was the paycheck simply too enormous to knock back? I'd really like to know who backed these two hours of lost time. Perhaps there's something I'm missing - like was it designed to be bad, lose money and reduce studio taxation? Hollywood does this, and it genuinely mystifies me. All I could ask myself as this thing built to its inevitably Gothic climax was ... with loads of fine writing and directing talent available ...why this?	2
 Don't waste your time	"With successful hits such as ""Face/Off"" and ""Con Air"" behind him, Nicolas Cage ventured out in one of the worst films of 1999. ""8MM"" is so awful it doesn't even deserve to be in video stores.""8MM"" surrounds Cage's portrayal of a private investigator named Tom Welles, who becomes involved in a missing persons case. A missing persons case that leads Welles into a disturbing world that includes pornography.There are only a few scenes in this film that make the film just short of a total waste of money. They include scenes of mystery and those that make you wonder what is going on, and with his family.Nicolas Cage is a very smart and brilliant action star; however, he must have let it slip his mind because if he had bothered to go over the script with a magnifying glass he would have found that it was flawed.""8MM"" deserves a spot in the hall of shame."	
 Disappointment	This 1999 Nicholas Cage vehicle started out as a decent thriller, but turned out to be just another b-movie. I got a feeling, watching this movie, there actually was a good enough script, but Schumacher couldn't quite handle it as well as he did the much simpler Phone Booth. The subject of snuff movies is as scary as it is a grateful one for any screenplay writer. As for the acting, Cage himself could easily have been replaced by, say, Jon Bon Jovi or John Travolta. That should give you a clue about the effort he put in to portraying his character. This movie, a big disappointment, could have been so much better and more interesting had the script been handed over to someone like Abel Farrara or David Lynch.	3
 Strange	"A strictly taboo topic rarely covered in films, 8mm touched on the very dark recesses of human nature. Schumacher did well to handle such a unpleasant topic, keeping the violence to a minimum. The haunting, almost bhangra score, a well timed performance by Joaquin Phoenix, and the seedy appearance of James Gandolfini add to the film. However there are two aspects of the film which badly let it down. Firstly Nic Cage as the lead, not bad but certainly not thought provoking enough. For those who have seen the film imagine a Morgan Freeman or Gary Sinise in the lead. The second and major downfall is the last third of the film. We are introduced to Peter Storemare's ludicrous director, the obvious ""the lawyer was in on it"" plot and a typical Hollywood ending. For a film not really aimed at your average cinema goer, the ending seems to want to please the masses and therefore gives the film an uneven finish. Unlike Seven (writer Andrew Kevin Walker wrote both) 8mm wanted everything to finish with the ""bad guys are dead everythings going to work out routine"" when really the gritty film needed a gritty ending."	
 8MM of trash	"With successful hits such as ""Face/Off"" and ""Con Air"" behind him, Nicolas Cage ventures out in one of the worst films of 1999. ""8MM"" is so awful it doesn't even deserve to be in video stores.""8mm"" surrounds Cage's portrayal of a private investigator named Tom Welles, who becomes involved in a missing persons case. A missing persons case that leads Welles into a disturbing world that includes pornography.There are only a few scenes in this film that make the film just short of a total waste of money. They include scenes of mystery and those that make you wonder what is going on, and with his family.Nicolas Cage is a very smart and brilliant action star; however, he must have let it slip his mind to go over the script with a magnifying glass.""8MM"" deserves a spot in the hall of shame and everyone should other Cage movies such as ""Con Air,"" ""The Rock,"" and ""Face/Off."""	
 What ppl dont see	Well , i see this movie gets really hard reviews - and i really disagree with it. first of all i really like the character cage plays , its a great character that really makes you enter the story and find hope in it. joel did a great job with this movie making u feel scared ALL the time , it's never happy , always sad and bleak weather and ppl. makes u understand the horrible truth behind the porn world and what the girls go through.for the gross stuff , i suggest ppl that cant handle some violence to keep watching disney movies.	
 A real view at life	8MM is just a movie with a real-time view of the current world. It's just a subject wich is not really loved by the audience because it is the truth. Nicolas Cage is just Tom Welles, he plays like it happened it himself. The real view of life in the porn-bussiness is just viewed that good, you're really live along Tom Welles and all the others.	
 8ZZzzzzzzz	Nicolas Cage is an annoying actor with the same predictable roles in every movie he's cast in. He's a good actor, I know but I don't like him.  Nic Cage is an investigator searching for a missing girl who disappeared from home and was seen in a violent porno film owned by some old bastard. Anyway, being an investigator, you think Nic Cage wouldn't become so attached to people, but he does and blows the whole case out of proportion. Once the movie is over all you can do is think - why??? The movie was too long and the action scenes weren't actiony enough for me. They were more gory than anything else. I suppose most people who like 90s films will like this, but most people who like good films won't.	
 Average but overly long thriller (with disturbing subject matter)		5
 How many ways can you say terrible?	I watched this sad movie on pay per view with a friend. Since we paid to watch it, we continued to sit through this piece of crap in hopes that it would somehow redeem itself. How can this movie be worse? That it continues on and on when there were several times to put it out of its misery. In one scene, Cage's character actually runs away from the bad guys that he has severly beaten down and could have ended it all right there. Needless to say, don't waste your time on this movie. My friend and I actually called DirecTV for our money back, because it was so bad. Unfortunately, they don't guarantee a good movie, only that we will receive the movie in good quality reception and sound.	
 Why?	This film was a major disappointment and I can't help wondering why it got made.The scriptwriter gave us a ridiculous premise, ridiculous characters and failed to incorporate any gripping twists. The director couldn't seem to make his mind up whether he wanted to be realistic or impressionistic. The lead actor wandered like a zombie through the movie from scene to sleazy scene.At the end of it all I'm sadly none the wiser.	3
 unfortunate	just thought i'd comment cos there is a lot of negativity. First off, andy k walker got screwed on this one by schumacher. Fincher would have done a lot better, i am sure. As it stands, Nic Cage is ok and, as with many films, Joaquin Phoenix portrays an excellent character in his inimitable style.Schumacher has done a lot of great work, but I think this wil be easily forgotten. Shame though, still worth a watch.6/10	
 What's the purpose?	"Not only the maincharactor's empty looks and bad drama was enough, but I wonder what was the message of the people who created this movie.Simply, I can't find any. The evil are evil and sick as what, but even the main character isn't good. I suppose the creators wanted to say that everyone, even a good man have a little of bad inside, but then the end of the movie leaves such stupid feeling.. Glad that I didn't pay for going to watch this to cinema. The movie starts with such an interesting setup. But in the middle and towards the end, movie loses it's elements and becomes meaningless revenge and killing. What gives the movie it's final ""touch"" is stupid and amateurish drama that gives ""acceptance"" for all that revenge and killing.I rarely see such a poor movie, even in these Hollywood stuff. Goes to the same box with ""Pearl Harbor"". Yes, definably so."	3
 Falls apart midway	I thought 8mm had a great first half.  *SPOILER WARNING* As i watched nic cage venture into the seedy underworld of porn, I felt disgusted at the depravity that exists in this world.  But,after the death of Max, the story just turns into another run of the mill thriller, with nic cage going after the usual bad guys. Again I think Joquin Phoenix did a great job,much better than the moping attitude nic cage had in the film.  I just wished the second half had been as interesting as the first half.  Maybe a director like David Fincher could have elevated the script to another level.	8
 Skip this one	"Saw this movie today and while Nicolas Cage's acting was terrific, as always, this movie left A LOT to be desired.  In fact, the ""action"" (actually, lack thereof) was so slow, I fell asleep in less than an hour. Woke up for about the last 30 minutes to find I really hadn't missed anything.  The plot needs a lot of work up---good premise, but that's as far as it went. The background ""music"" was lousy, as was the photography.  So, Nicolas.....I love you dearly, but wish I'd have skipped this one.  I wish you had as well...you're far better in movies such as ""The Rock""."	
 Good movie, but could have been much better.	Hi, I have never posted a review here but I couldn't resist after reading the reviews of others on this site so here goes.... I saw this movie last night and the way the clerk said that the movie had some shocking scenes of hardcore underground pornography in it made me think I was in for a shocking movie.  I guess for a more or less mainstream movie, but compared to the  films of David Lynch or David Cronenberg this was just your average detective movie with revenge undertones.I found Nicolas Cage to be back in good shape in this movie since lately he had been doing action movies (con air, face off..).  Anyway his performance was excellent and it's good to see he still does controversial movies. Joaquin Phoenix surprised me since his character is the best in the movie. I didn't hate anything really in this movie but I just got the sense that it wasn't showing you much the same way seven had this hype around it that it was really gory and shocking when I thought it was good, but far from shocking. All in all it is good but not shocking.  If you want to be shocked just go to a slaughterhouse, that is truly shocking. This movie just shows the dark side of humanity. anarchus	
 Ridiculous, at the best...	Oh Gosh! What a waste of time! I never thought Nicolas Cage could be a bad actor. In this movie, he is, even more, he is ridiculous. This is the kind of movie that can be attractive to teenagers, excited by the S&M perspective. But I bet any adult used to real good movies will find it predictable and very boring. As for Stormare'nails.... bad copy od Nosferatu or Oldman in Bram Stoker's Dracula. When I laugh in a supposed very serious movie, it is a bad sign!!! If you're sixteen and h...., go see it, otherwise, stick with 'Seven'.	4
 Good flick, but moves too slowly	It's a great movie as a whole, but the first half or so didn't do justice to the previews.  Going in, I was expecting something a bit more action packed, but it didn't deliver until the end.  All in all, see it, but go to the matinee.  It's not worth the full price.	
 Creepy attempt at a disturbing story.	"I paid matinee money for this 35mm movie about an 8mm film. 5 bucks. Thank god. A penny more and I'd be pretty upset.I think that given a good enough script and direction, Nicholas Cage can be one hell of an actor. Yet, right from 8mm's beginning, Cage's portrayal of a Husband/Father who has everything he could possibly want seems forced and completely without authenticity. You know who would've been great in this role?  Roberto Benigni... I think he would've been as little more believable. The story is intriguing...but a good 15-20 minutes could've been hacked off this thing, including the crappy ending...There was really no need for unmasking ""Machine"".. Why put a face on evil? Geez- I cannot imagine paying $9.50  (Manhattan price) for this dud of a flick or recommending a friend to do the same."	6
 Unrealized Potential	"I went into this film with very high expectations (based on the press it has been getting and the writer), however I was depressed by how flat and lifeless the movie was.  The storyline has potential to be a wonderful psychological thriller, but falls short in the presentation.  While I happen to like Cage in most films, he does not fulfill the role well.  The biggest problem that I can see with this film is that there is no connection to the characters.  Unlike ""Usual Suspects"" or ""Apt Pupil"" where the connection to the characters draws you into the film and makes you relate to them (even in some demented way), this film leaves you caring nothing for anyone involved. There is no real development of the ""villain"" characters in this film, in fact you do not even meet them till the last 20 minutes or so.  Visually the movie is well shot, but the editing is lacking some dynamics that would have improved the feel. My general impression is that the creators are trying to shock people more then develop the plot, and unless you are easily shocked, it will not work. Overall, don't waste the 7 bux to see this in the theaters, rent it if you want to see it."	4
 Allright.. but it's NOT as good as it looks	"Schumacher usually does a damn good job at doing movies (Falling Down)... in this though.. the problem was the actual writing.  The trailers make the movie seem like another Seven or The Game.. which is what I expected it to be like.  This movie was entertaining and very dramatic at parts, which was cool.  Also, Cage is an incredible actor.. but the whole movie left him silent and distant.. a person usually gets attached to his character early, but some of his lines in this seemed tacked on.. no, not like those catch lines from Terminator or Batman.. but it just seems every once in awhile he'll just say something completely out of line.  I liked the conclusion, although it wasn't shocking like many expected it to be.  On the Skatt rating I give it a 6.5.  One thumb up... if you're bored and not ""squeamish"" go out and see it.. but don't get all worked up if you haven't seen it yet.. it's not THAT good."	6
 Intensely disturbing, morally repulsive, great cinematography, but cliched		8
 A flatly acted disturbing film.	This film is aptly named. It has all the qualities of an 8mm film that you would see in a garage behind someone's house. I would not have minded all the disturbing images if there was a story to go with them. The movie was flatly acted and you really couldn't expect anything else from such a thin plot. The person in the movie that you should care about, (the victim) is never fleshed out enough for you to care if Cage's character gets the bad guys or not. I would not recommend this movie for either the theater or rental.	2
 A terrible mess of an action/thriller mixed with drama	8MM explores the underground of pornography and the violence that is associated with sex.  The film had one major plot -- Cage's attempt to discover the origins of a film that he as been hired to investigate.  The film has many interesting subplots which are never fully developed. This is the worst Nicolas Cage film I have ever seen.  He looked confused most of the movie, like he was not really sure what to do in the way of acting, so he just gives the blank stare, that is very misplaced. Basically the film is a pile of interesting potential, but totally flopped in all areas of the Big Screen. Don't waste your time to see it.	2
" Positive comments on the dark film ""8 mm"""	Great cinematography, great screenplay from the writer of `Seven' Nicholas Cage proves that his Oscar was not a fluke. I also liked `Fargos' Peter Stodmaire, who plays a sleazy s&m producer. I liked the moody lighting, it added to the effect of this dark tale. The subject matter was outrageous by typical `R' standards, but I figure if the movie works then the content doesn't matter. Maybe a more moody director should have been chosen like David Fincher (Seven, The Game), or Alex Proyas (Dark City, The Crow), rather than Batman And Robin director Joel Schumacher. Still a solid thriller, go see it.	8
 Very disappointed in this movie.	"I thought this would be a breakthrough movie for Nicolas Cage, the kind of movie that would put him in demand in Hollywood. I was wrong, this movie was too long for its content. It may have been a good 90 minute movie but it was, at best, a mediocre 2 hour movie. The story and plot duration seemed to drag on for years, even though the duration of the story was to have taken place in a couple weeks. The music that was chosen to accompany many scenes was very distracting, it was a cross between ""alternative"" and ""snake charming music"".Cage is a private detective in the movie with a wife and child. He phones his wife almost every day while on assignment. The phone calls become very painful to watch. The wife complains the whole time that Cage is gone too long or she whines about his job. It's almost as if she doesn't know he is a private detective. The first scene of the movie has no place in the movie it is a complete waste of film. Cage also has a chance to wrap everything up in a warehouse scene but runs away and drags the story ending with him. I found myself listening to the conversations that were taking place in the theatre, rather than watching all of the movie. I would not recommend this movie, wait for the video if you must see it."	
 Could have been better	The idea was very good, the script was not too bad but... It really could have been better. This movie is very dark and sordid but it doesn't catch you. You don't really have feelings for the characters and it becomes too unbelievable at a certain point.It wasn't a bad movie but, you can't stop imagining what Oliver Stone or Quentin Tarantino would have done with it.	5
 Surprisingly dull for what it had to work with!		4
 No thrills or surprises...	I would advise people to see something else before this one.  I went to go see it because people said it had twists right up to the last frame, well, THIS ISN'T TRUE!  There is one twist, and both Cage's character and the audience don't care. I will give Schumacher credit for effectively creating the intense dark mood, and it is much better than his other recent disasters. Finally, unless your really squeamish, the content shouldn't bother anyone too much, it's not as bad as people say.	5
 commercials lie	don't believe the hype about the movie.  despite the advertising's claims (implicit or explicit), this movie has none of the graphic, disturbing imagery of _Seven_. instead of being shocking, the movie's attempts at exhibiting the perversity of the porn world were stereotypical and laughable.  although Cage and Phoenix deliver some convincing acting, the movie is disappointing.  if you're expecting a gritty film with some substance, skip this one.  if not, simply sit back, turn off your brain, and enjoy yourself.	
 Not where is it going, but why?	What a waste of talent!  Knowing that I was in for an evening of the seamy side of life, I was willing to accept that for I knew that Cage would not have ventured into this film without good reason.  I'm, still trying to figure out what that reason was.  The film goes nowhere!  I'm not sure why it left the dock in the first place.  I suppose there are those who want to know more about the pornographic side of life, but even they will be disappointed.  There's not much for anyone.  Strike it off as a wasted two hours!	3
 This movie made me sick.		1
 Good Movie, Bad Ending		
 A disappointment	8mm showed unlimited amounts of promise- a script penned by the writer of Se7en and Sleepy Hollow, a well-balanced cast of newcomers (Joaquin Phoenix) and established actors (Nicolas Cage, James Gandolfini) and a controversial subject matter.  What we ended up with was a pompous, self-righteous semi-thriller which seemed to deliberately shock and shamelessly imitate thrillers such as Se7en and The Silence of the Lambs.  However, 8mm is nowhere near as accomplished as those films.First of all, the once suitable ending was completely changed to suit Hollywood's hero-loving standards. **SPOILER** In the original script, Tom (Cage) committed suicide by driving head-on into a wall.  That seems more of a suitable ending than his mumbling nonchalance and the shedding of an occasional tear.  The cinematography is very difficult to watch- the lighting is far too low-key, even if this is intentional to fit in with the 'shocking' subject matter.  The soundtrack often overrides the dialogue, which isn't that hard considering that Nicolas Cage is only coherent for about 30% of the film.Joel Schumacer's directing is far too heavy handed, so much so that you can practically hear the grunts of exertion.  His direction lacks finesse, style, or any sense of tact, and this shows painfully in 8mm.  The pornography is overly explicit, tasteless, and the characters within the trade (Max California excluded) are nothing more than exaggerated caricatures.  The characters are boring (again, Max excluded- it seems that Phoenix carries the entire film on his shoulders, and is horribly underused), and we feel absolutely no sympathy for them.  The only sympathy we feel is for the people that paid good money to watch this film.	
 A Gripping Thriller	Ignore comments about this movie being lame in the end. I won't give the plot of the movie away (someone else already did that) but I will say this movie is a gripping thriller! It had me on the edge of my seat, especially the end. All the actors are all amazing, especially Nicolas Cage, and this is a great job of casting. This story could very well happen, if it hasn't already, which makes it that much more disturbing. I'm still trying to believe that Joel Schumacher directed this movie! He did a great job too. This movie was written by the same guy who wrote Se7en, so if you liked that movie, you will like this one also.	
 If you dabble in this fire you will get burned. Utter perversity... vile carnage of life.	C A R N A G EThe perversity...  the vile carnage of life.  utter evil is depicted in this movie.  2:30 in the morning tears in eyes, nauseated, I unplugged the VCR. Walking outside, and unable to fathom what would drive a human to violate oneself in such a manner I vehemently puked under an old oak tree.  I haven't finished the movie to this day.  I am scarred for life.  Do not take this statement lightly.Character Max made a comment about the content displayed herein.  He said that you can't dance with the devil because he won't change his tune... he will change you.How true.I plead with you to not watch this movie.	
 8mm was a very dark and disturbing movie that at times dragged, but overall made you think about the world that goes on when the lights go down.		5
 A load of crap	Seeing how a lot of people actually thought this movie was good, I have to disagree. I went to see this movie in the theater with some high expectations but came out feeling dumber. It is perhaps one of the most ridiculous movies and displays of over-acting I've ever seen. The one only true redeeming value of the movie was Jaoquin Phoenix's character, who of course HAD to be dealt with the way he was because if it was any other way the movie might have had a standing chance. He did it because he could? Grrreaaat plot point. I know Joel Schumacher has put out some pretty bad stuff (uhh all of his Batman takes) but this one was just ridiculous.	2
 Brutal & Derailed.		5
 Cage goes to Pornoland !	This movie was never going to dominate Oscar night. It is not as bad as some folks make it out to be. Then again, that is not to say it is great.This tale of Nick Cage's investigator exploring   the dark world of hardcore pornography probably plays better on video or satellite TV than on 35mm or 70mm at the movies. The story keeps up the interest until near the end when a moralising tone spoils it somewhat. Cage is great and carries the movie a great deal as he is virtually on screen the whole time. James Gandolfini and Joaquin ' The Actor Formerly Known As Leaf' Phoenix provide sound support. This one might make it as a cult movie in a few years from now. Worthwhile but not a masterpiece.	
 I expected more	What a good movie it could have been. The story is very impressive, but the script has been written very bad, dialogues are too cheap and fails in directing. I can't believe that Nicolas Cage could play so awful like this. He proved to the world that he's a very powerful actor by playing in Leaving Las Vegas. I expected more from him in 8mm. I don't suggest this movie.	3
 Good first half... (includes spoilers for the movie)	"I really liked the movie first of all... at last, I liked the first hour of it. The cinematography was excellent, the darkness and all that grey and black remembered me a lot of writer Andrew Kevin Walker`s other well-known work, ""Seven"". It just didn't rain as much as in ""Seven"". Nicholas Cage` search for the truth and the emotional change he goes through were very interesting to watch, thrilling. His scenes with the murdered girl`s mother were the best of the whole movie. The performance of Amy Morton as Jane Matthews especially stood out here. The movie gets very good the moment Cage's character, PI Tom Welles, teams up with Max California (Joaquin Phoenix), a clerk in a porn shop, Welles pays for helping him finding information in the s/m scene and the porn industry, a world completly alien to Welles himself.The two characters have a certain, very interesting way of dealing with each other, especially because Max turns out to be a totally different kind of person to what everyone would expect him to be at first. Max California turns out to even have a certain kind of innocence around him, something Welles has already lacked right from the beginning of the movie. But if you know at least a few Hollywood-made movies, it`s nearly needles to say that in a world supposed to be as bad as the one we see in ""8mm"", innocence can't survive. No surprise here, when still innocent and nice Max gets brutally murdered (while standing in front of a cross! Don't you dare to miss the deeper meaning here!) after half of the movie, just so Tom Welles can fulfill his descent into darkness. Oh please!At that moment, ""8mm"" turns into being just totally stupid. The first half of the movie, when everything was mostly about Welles, searching for the truth and Max helping him and both of them moving more and more into the darkness that is the porn industry in the eyes of He-who-killed-off-the-Batman-movies Joel Schumacher, everything was fine and very dark in a still fascinating way. That is, because we didn't have to see too much of the ridiculously stereotype bad guys who are supposed to give the darkness a real face. Here we have a movie, that COULD have been really scary if the bad guys would have been very normal and everyday guys. Instead, what see here are a bunch of bad guys who are that bad it wouldn't have made a difference if they'd have ""We are evil"" signs over their heads. And Super-Bad Guy ""Machine"" turns out to look like your friendly, four-eyed, living-with-his-mother kind of neighbour. Gasp! Wow, that's something totally new. I haven't actually seen that in a dozend other and better movies before and was therefore of course expecting Machine to have little horns and a tail. Oh please, again!What really made me frown was the end of the movie. I could accept somehow that Welles brutally killed off one of the bad guys and then burned the evidence of what he did. I could also accept him to go after Machine because it was just the natural thing to do for a hero in a Hollywood-movie. What I CAN`T accept about the end of the movie is, that Welles kills Machine in front of the man's house and then is able to just walk away without ANYONE asking any questions, without the murder on Machine or any other of the bad guys ever leading back to Welles. And it's not as if there wasn't any evidence. And what the hell happened to Max? Did Welles just leave him there in front of the cross, with his throat cut? Or did he actually call anyone to give his friend a decent burial?And then there's also the thing with the ""disturbing pictures"" a lot of people mentioned in their comments.  I can't say that I'm good in watching ""dark"" movies. They usually make me feel very uneasy and most of the time I have to close my eyes if there's too much blood involved. But no uneasiness here. All I could think all through the movie was, that Joel Schumacher was just using those pictures of death and nakedness (Gasp! Naked people. Please AGAIN!! We see ""worse"" than that in usual german TV at 10 pm). Most of the time they didn't seem to be a real part of the movie like in Seven, they were very often just meant to make people think ""Oh god. Look how sick some people are."" and to explain why Welles more and more turns into the dark and brooding hero who at last commits murders, too, at the end. And so I was grinning about those supposed-to-be disturbing pictures. I don't think that's what Schumacher intended.So what I think is: Good performance by Nicholas Cage, especially when fighting over if or if not to tell the mother of the murdered girl about what happened to her daughter. Good performance by Joaquin Pheonix. The character of Max could have turned out to be very dull, too, with the wrong actor. Thankfully, they had Pheonix. VERY good performance by Amy Morton. Good cinematography at the beginning of the movie. Ignore the bad guys and turn off the movie the moment Max dies, to spare yourself a few ridiculous fight and death scenes and some actions by the hero that just makes you think a big ""Huh??"". Then go and rent the spanish movie ""Tesis"" (english title: ""Thesis"") which deals with the subject of snuff movies, too, but unlike ""8mm"" actually IS disturbing and makes you think a lot about what people are capable of."	
 Slow, Lifeless, Lackluster		5
 C**p	Nicolas Cage has made some pretty bad movies in the past few years (Bringing Out The Dead being the only glaring exception that comes to mind), but none as bad as this boring, seedy dreck. Little wonder, it was directed by Joel Schumacher, who wouldn't know what to do with a little moment if it bit him on the ass and begged him for attention. If you must see a bad Nic Cage movie, there are plenty of other, better choices.	2
 A phenomenal waste of 2 hours.	Although this film blatantly aimed to shock the audience, I just found the whole thing to be distasteful.  Many times the movie just dragged painfully on- the film could have been edited to be 45 minutes shorter.  The ending was then rushed and disappointingly predictable.  What were supposed to be some of the most dramatic moments actually made the theater burst into laughter- they were that ludicrous.  Nicholas Cage's character was surprising static for all the hell he goes through, and towards the end of the movie it's hard to identify with most of his actions.  The only enjoyable part of this movie was Joaquin Phoenix's character, Max California.  It adds a bit of much needed levity to this otherwise ponderous film but falls just short of saving it from being an atrocious waste of time.	2
 The Unmoral Truth	This movie was very good, BUT!!! it made me sick!! This is not a movie for easily sickened people!!  I am not easily sickened but this movie was the sickest movie I ever SAW!  It was based on reality and the stuipidity of young youth to fall in the hands of something so evil.  Nicholas Cage did an exellent job in this movie!	6
